o:resource_template,o:resource_class,dcterms:title,edm:hasView,edm:isShownBy,bibo:pageStart,content,dcterms:identifier,dcterms:isPartOf,first_hpos,first_vpos,first_width,first_height,last_hpos,last_vpos,last_width,last_height,cv,IIIF_id,language,status,pid
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0014,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0014.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=13&xywh=-1391%2C0%2C10494%2C4670,14,"sera fait en argent courant pour sept mil florins, ce que fait en argent 
de change ƒ6000: - aussj vous satisferrez les ƒ7000:- argent jourt
avec ƒ6000:- argent de change, ie nee doute pas ma chere tante ou vous
este atteur asse bien informe de toute, la rente n'est plus en son entier
presentement, que pour ƒ28000:- argent courant c'escu a 56 pattars
pont mons: de fwijndrecht est proprietere pour ƒ21000:- argent courant
& les ƒ7000:- restants vous seront transporte p mons. miche l'auvray
qui les possede presentement vous priant de m'envoyer vre modelle de
contract a fin de le faire passer icy p le dit si auvray & j'auray soing
que tout sera en bonne forme: vous ne me faite pas meistion de ma
lettre que ie me suis donne l'honneur de vous escrire le 22 courant
p la quelle ie vous ay marque que j'avois negotie vos remises
sur amstodam a 2  de vre avance esperant pourtant quelle 
vous sera rendue & que vous auraiy anotte le tout de conformite 
mon espouze vous foit bien des compliments de mesme a vre
chere famile, estant toujours avec offres demes services en tous
occasions",,75864,,,,,732,1866,388,151,13,https://museumstichting.resourcespace.com/iiif/image/49519,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mqnkw
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0015,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0015.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=14&xywh=-1391%2C0%2C10494%2C4670,15,"sera fait en argent courant pour sept mil florins, ce que fait en argent
de change ƒ6000:- ainsj vous satisferrez les ƒ7000:- argent jours
avec ƒ 6000:- argent de change, ie ne doute pas ma chere tante ou vous
este atteur asse bien informe de toute, la rente n'est plus en son entier
presentement que pour ƒ28000:- argent courant c'escu a 56 pattars
dont mons: de Lwijndrecht est proprietere pour ƒ21000:- argent courant
& les ƒ7000:- restants vous seront transporte p mons. miche l'auvray
qui les possede presentement vous priant de m'envoyer vre modelle de 
contract a fin de le faire passer icy p le dit s: ouvray, & j'auray soing 
que tout sera en bonne forme: vous ne me faite pas meintion de ma
lettre que ie me suis donne l'honneur de vous escrire le 22 courant
p la quelle ie vous ay marque que j'avois negotie vos remises
sur amsterdam a 2  de vre avance, esperant pourtant quelle 
vous sera rendue & que vous auraiy anotte le tout de conformite 
mon espouze vous fait bien des compliments de mesme a vre
chere famile, estant touiours a vec offres demes services en tous",,75864,,,,,713,1727,2527,193,14,https://museumstichting.resourcespace.com/iiif/image/49520,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mkwhq
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0016,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0016.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=15&xywh=-1391%2C0%2C10494%2C4670,16,"coop, soo dat lieven de soorte van 30p donce soude hebben, als die gemeijne
ven 24 dogh alsoo gaerne de satisfactie eent soude hebben, van een modille 
te sien, wenste wel uet oft den werck van mij een wilde toesenden, niet wefelente
oft hij patroonen daer van heeft, tgene op het spoedightte versoecke, om dat
de gelonnen die het eerste moeten verwerckt worden, van het selfde couleur
moeten sijn, & ul can wel consideren, dat het werck niet avaneeren can voor dit
de resolutie huir ontrent genomen is, derhalven hier ontrent seer gepresseet van
hebbe het cassien met het copere werck wel ontfangen, & het inhouden appaert
gedaen, terwijlen sien, daer noch veel manqueert vant gene s leveren met
& gelieve daer noch bij te doen een goiede buys & 4 croisade gespen als
mede twee hant haven die int vien vergult moeten wesen, om den riem
van achter voor de sneghs aen te hangen, daer by 2 gespen dobbel vergult
voor den riem de hant haven hebbe oock het erste noodigh, voor dat de
galere van binnen devult wort, tot ue naeright, ten wan ue voordeelde
die naer der hant londen aengedan worden, sal dan het resterende coper
werce met gene hier vooren gespecificeert p erten verwaghten, als
wanneer eene notitie gelieve toe te senden van alle die stucken
die ue mij gesonden heeft, & sal aldan aen ue het impot prompt betalen
oock voldoen de biefpoorten, waer mede ue: belaste eoecuseert de
lobert ijt die de bruyke van ue moeyelijck te vallen over saken, daer
ie qan profijt by heeft
den coetsien van de diligentie heeft mij gisteren avont gebroght een
mandeken niet baekers bisquiet, die seght dat imant van ue kueghs
hem dat gebroght heeft om aen my te behandigen, & terwijlen ue in
sijn brief daer af geene mentie maeast wete niet wat dencken uemant
wilt daer van proeven, oock het can versieert gedragen sijn, dar om
sal dat laten liggen, tot dat van ue eenigh advies hoer van hebbe",,75864,,,,,743,2856,2416,169,15,https://museumstichting.resourcespace.com/iiif/image/49521,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_mg4fj
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0017,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0017.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=16&xywh=-1391%2C0%2C10494%2C4670,17,"auvray, p le quel vous trouveray, que la ditte rente luy est tombe en
partage ainsy ma chere tante vous avez tout, ce quil vous faut en
bonne forme, ne doutant point, que vous en seray contente, j'ay
payez a mons: michel auvray
pour le Capital en argent courant l'escus a 56 patt: -.. ƒ7000:-
pour 3 mois 6 jourt dinterest depuis le pr novembre sus quls
„74:13
& court: a raison de 4 pour cent aussij courant
9
faissant ensemble en argent courant ƒ7074:13
pour les quelles ie vous eay debite a vre compte en argent de change
dicy, en £1010:13:4 et ce quil vous plaira d'anotter de conformite 
vous priant de me donner un petit mot d'avis de la rcception de cette
a fin que ie puisse estre en repos que ces papiers, vous ont este rendue
ie ne scay pas encor, ce que ie devrois payer au notaire.
ie suppole, que le biens de Lille me pourront venir en partage & comme
ie craigne toujours la guere & les confidcations, ie prend la liberte
de vous mander si tous ces biens pourront vendre du moins comme
ils sont prise, pour me pouvoir reguler a ladvenant, il me semble 
que les priseries sont fort hant, puis que le rendage ne monte pas
a 3 pour cent, estant un interest, qui ne me convoenderoit point
dans un payes estranger. nous vous sommes bien oblige de la perne
que vous vous donne au suject des deux pieces de terre, dependant de 
la seig. de le viene so mons: de suyndrecht n'at point este pris
pour l'adveritement desboet a tres mal fait, puis que cettoit luy
qui les at aschete pour compte de nre beau pere de cette maniere
on perderoit les biens sans le scavoir, il faudra que ses deux
pieces soient aussij prisces, quand ils seront trouve excuse madam
tous nos importhenitees & en vevange, ie vous prie de comandes
En tous occasions, celuy qui a l'honneur d'estre avec bien du respes
mon espouze vous faite & a vre chere famile bien de compli",,75864,,,,,749,3253,2365,213,16,https://museumstichting.resourcespace.com/iiif/image/49522,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mbg7m
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0018,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0018.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=17&xywh=-1391%2C0%2C10494%2C4670,18,"d'amaslieven comen halen, volgens mijn di bevint hij hem geamtay
om te weeten waer l di platen pr volet  pl moet
soo dat bevreest ben dat en stuck op sijn rechte plaets niet staen
dat in mij val plaitit doen het  alliver eent jt te teckenen dae
 aen t uijten waer ien pr   liogen moet en geen
veroratt oc te hebben dat uy nochtans soo veel gelt costen sal
het is mij leedt dat ue soo veel moeyte geve, ben van ue derise
content nu ben evenwel voor de creppine spiegels  het schoderen 
van de galere seer geambarasleert dat ick alle die moeyte en
achter dencsien hadde sonnen bguijsen, geloove niet het wercke
op dese maniere soude begontt hebben vertrouwe ue mij wel sal
willen bechulpsaem sijn, & ue teekenis vant arnassier afwaghtende 
blijve naer nu
P. naer het schrijven deses besome ue aengename van gisteren
die ue ten deele mede beantwoordt vindt ue stelt op de ve
want gelevert coper werck, voor de golade gelpent guiede buys
de vee hant haven t wee halve gespen ƒ 14:12 dat is inmers
de veel, gelieft de quittant ie te schrijven voir twee honders
en tmintigh guldens in voldoeninge van alles, & sal de selve met
den Coetsier van de diligentie af woghten, & selt gelt volgens ue",,75864,,,,,752,2158,2450,198,17,https://museumstichting.resourcespace.com/iiif/image/49523,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_m6q5f
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0019,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0019.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=18&xywh=-1391%2C0%2C10494%2C4670,19,"& alsoo het uyt pringende wercken bestaende in rechels & loofwerck in mijn
galere niet te passe connen comen, soo sende aen ue oock hier benevens 
een teakkeninge voor nhiet boven sieraet dat boven den leest moet
comen & den goedt doorgaende wooch is, dat soo vontomme de galere
mort gaen &uytde fleurons uyt de hoecken uyt springen den 
eelt & de fran is het selfse naer ue gesonden teee mins de fleurens
in de hoecken, & int midden, can ue de laten matser naer
advenant ue het besie vordeelt faengaende het ussen van den
seversier, ben geresolveert het selve te lae vordiveren, daer oft
daer ontrent vervolgens den treck van de caeppine, & als de house
gemaeckt sal tij sal die ue als dan toesenden de andere noodige
galonnen sal die hier latenmallen
wat e belanekt de spie gel gelaten",,75864,,,,,748,1521,1486,139,18,https://museumstichting.resourcespace.com/iiif/image/49524,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_m2z38
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0020,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0020.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=19&xywh=-1391%2C0%2C10494%2C4670,20,"que vous ne feroit rien, qui voille, ce pour quoy mons: ie viend & cette
vous prier de vouloir avoir la bonte, de le venir peindre icy ie vous
donneray les seize pettols outre vous auray tous les midies ma
portion, pendant vre sejour a anvers, & si vous voulez vous resondre
ie vous m arqueray le temps quand vous pourray commencer sc avoir
quand le seillier aura fait, vous priant de me vouloir dosmer
vre resolution p le premier estant tres parfaittement ",,75864,,,,,764,845,2194,189,19,https://museumstichting.resourcespace.com/iiif/image/49525,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mz61t
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0021,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0021.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=20&xywh=-1391%2C0%2C10494%2C4670,21,"niet disputeren, maer vujt voor schoon te betalen, waer wat tegens mijn
gemoett een ander soude hem die aen de hant laten, dogh dat is mijn
hunneur niet even wel het chaarimeert mij daer soo veele costen doen
dat die crippine soo vujt soude gebruyken, gelieft hem hier van
kennisse te geven, & welt hij die stellen tot vier en vewintigh stuijvers
donce sal die nom aen namen, anders can hij daer mede doen wat
hem gelieft & ick soude hoeh liver 36 tuijvers betalen, schoon eijnde
als 4 gelijck dese vujle hadde dese creppine schoon geweest saide
heden n paul, de somme betaelt hebben, gelieft hij die te stellen
tot 24 fte donce, sal een andere rekeninge dan verwaghten
& dat eij aen paul een andere, quitantie me de geeft, sal aenttonts 
betalen, anders sal de creppine voor sijne retteninge laten liggen
& mij van gallonnen bedienen, excuseert mijne a lieven vrint
celle de moejte die in geve, het hadde mij val plaisis geweest
dat van s: dn lille, soo content hadde geweest als van ue sal aen
ue alle mijn brefpoorten met vee obligatien vodoen & bidde cito
antwoort opt voors om my te reguleren & blijve met offres van
dieust
PD mons: ballieu heeft mij geschreven dat hy mijne galere hier
sil comn saubere d'at suprnere door ne devoiren gecomen is
waer vooren ue bedanclle",,75864,,,,,750,2241,1106,171,20,https://museumstichting.resourcespace.com/iiif/image/49526,nl,unreviewed,http://data.momu.be/ark:34546/m63xtm_mtdzn
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0022,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0022.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=21&xywh=-1391%2C0%2C10494%2C4670,22,"monsr Coppens ni escrin auiourdhy, que la comp: a eu me faute 
couche d'un porte d'enviion de trois mois a hier, & quelle souttre
beaucoup, ce qui ne viend pas, p le grand plaisir quells 
pourroit avoir quelque fois elle avoit promis a ma fau
p la lettre de venir icy pour le temp de la couche, mais il
nous marqua peu avant quelle avoit mal au pied, & ce mel
esttoit passe peu de jour avant la faute couche, anisy ie vous
laisse a considerer le reste, mon espouze vous fait, bien des
compliment, & a toute la chere famile permette m chere
faute, que j'en fasse de mesme & suis avec bien du",,75864,,,,,742,1134,2255,219,21,https://museumstichting.resourcespace.com/iiif/image/49527,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mpnwg
Melijn entry,dctype:PhysicalObject,MOMU_T94_192_0023,https://raw.githubusercontent.com/MoMu-Antwerp/melijn/main/altofiles/T94_192/alto/MOMU_T94_192_0023.xml,https://universalviewer.io/uv.html?manifest=https://museumstichting.resourcespace.com/iiif/11524/manifest#?c=0&m=0&s=0&cv=22&xywh=-1391%2C0%2C10494%2C4670,23,"que vous viendras, si vous venez p la diligence ie vous vienderns
prendre a un lideu dicy, &m voiuure s en attenddant vre respon cy
a la reception de cette ie sus tressiverement",,75864,,,,,787,395,1833,139,22,https://museumstichting.resourcespace.com/iiif/image/49528,fr,unreviewed,http://data.momu.be/ark:34546/m63xtm_mjwt9
